HALTER_ID,"Age, Guardian","Gender, Guardian",City District,Primary Breed,"Year of Birth, Dog","Sex, Dog",Dog Colour
80978,51-60,w,9,True klein,2012,m,tricolor
80982,61-70,w,10,Dachshund,2010,m,Black Brindle
80986,71-80,w,11,Border Collie,2001,w,Black/Brown/White
80999,61-70,w,10,West Highland White Terrier,2000,w,White
81001,61-70,m,10,Deutscher Boxer,2003,w,Red
81004,61-70,w,9,Scottish Terrier,2006,m,brindle
81004,61-70,w,9,Scottish Terrier,2013,m,Black
81018,81-90,w,10,Tervueren,2005,w,Brown
81027,61-70,w,8,Parson Jack Russell Terrier,2000,w,White/Brown
81042,41-50,w,2,Dackel,2011,m,Brown/White
81042,41-50,w,2,True klein,2008,w,tricolor
81043,71-80,m,10,Zwergpudel,2003,m,Brown
81045,61-70,w,6,ZwerGreyhaardackel,2009,w,Wild Boar Coloured
81050,61-70,w,5,Labrador Retriever,2002,w,Black
81050,61-70,w,5,Labrador Retriever,2005,m,Black
81050,61-70,w,5,Labrador Retriever,2009,m,Black
81054,51-60,w,1,Labrador Retriever,2004,m,Gold /sable
81054,51-60,w,1,Mops,2011,m,Black
81064,61-70,w,8,Labrador Retriever,2009,w,Brown
81072,51-60,w,7,True klein,2008,w,Brown/White
81091,61-70,w,7,Labrador Retriever,2004,m,Brown
81092,81-90,w,7,Foxterrier,2003,m,Wild Boar Coloured
81096,81-90,w,7,Dackel,2002,m,Red
81097,61-70,w,7,Gold en Retriever,2013,w,Gold en
81100,51-60,w,7,True klein,2009,m,Brown
81100,51-60,w,7,True klein,2011,w,Red/Brown
81107,71-80,w,7,Deutscher Schäfer,2011,m,Black/Yellow
81112,71-80,m,7,Australian Shepherd,2009,m,blue/merle
81116,51-60,w,7,Französische Bulldogge,2014,w,beige/Black
81132,31-40,m,7,True klein,2010,w,Black/Brown
81134,71-80,m,7,Pekingese,2006,w,Brown
81139,81-90,w,7,Mops,2015,m,beige
81153,51-60,w,8,Airedale Terrier,2013,w,black/tan
81159,61-70,m,9,Airedale Terrier,2008,w,Black/beige
81172,61-70,w,11,Collie,2009,m,tricolor
81183,41-50,m,9,Deutscher Schäfer,2011,w,Black/Yellow
81183,41-50,m,9,Yorkshire Terrier,2013,m,steelblue/tan
81184,61-70,w,9,Italienisches Windspiel,2006,w,Black
81188,51-60,m,10,Jack Russel Terrier,2011,w,Brown/White
81195,61-70,w,10,Beagle,2004,m,tricolor
81197,51-60,w,2,West Highland White Terrier,2002,w,White
81200,81-90,m,10,Toypudel,2002,w,Black
81202,71-80,m,9,Toypudel,2004,w,Silver
81212,51-60,w,9,Labrador Retriever,2014,w,Black
81218,71-80,w,9,Cairn Terrier,2012,m,Red/Brown
81224,51-60,m,10,Miniature Bull Terrier,2010,m,Red/White
81234,81-90,m,9,Terrier,2001,m,Black/White
81235,71-80,m,4,Jack Russel Terrier,2009,m,White/Black
81245,71-80,w,8,Chihuahua,2009,w,Red
81248,71-80,m,10,Deutscher Schäfer,2011,m,Black/Brown
81251,51-60,w,2,Irish Terrier,2014,w,Red/Brown
81252,71-80,w,9,Berger des Pyrenées,1999,m,beige
81254,51-60,w,9,Tibet Terrier,2004,m,White/Black
81273,71-80,m,9,Gold en Retriever,2005,m,beige
81274,91-100,m,9,Labrador Retriever,2005,w,Black
81281,61-70,m,3,Labrador Retriever,2003,m,Black
81287,81-90,m,7,Cairn Terrier,2002,w,Dark  Brindle
81293,81-90,w,10,Cocker Spaniel,2010,w,Brown/White
81309,71-80,w,10,Yorkshire Terrier,2006,w,Black/Brown
81316,71-80,w,11,Yorkshire Terrier,2007,m,blue/tan
81319,61-70,m,10,Labrador Retriever,2003,m,Black
81322,71-80,w,6,Galgo Español,2008,w,Brindle
81323,81-90,m,6,Alpenländische Dachsbracke,2007,m,hirschRed
81325,71-80,w,12,Sheltie,2008,w,blue/merle
81330,41-50,w,2,Dobermann,2000,w,Black/Brown
81336,51-60,w,6,Malteser,2010,w,White
81343,31-40,w,11,Papillon,2002,w,Black/Brown/White
81346,61-70,w,7,Terrier,2005,w,tricolor
81348,61-70,w,7,Gold en Retriever,2006,w,Gold en
81352,71-80,w,7,Windspiel,2011,m,steelblue
81352,71-80,w,7,Italienisches Windspiel,2011,w,Black/White
81353,81-90,w,6,Redtweiler,2008,m,Black/Brown
81354,81-90,w,6,Appenzeller,2000,m,Black/Brown/White
81364,51-60,w,3,Cocker Spaniel,2008,w,Black/White
81377,41-50,m,6,Bearded Collie,2010,w,Brown/White
81377,41-50,m,6,Bearded Collie,2006,m,Grey/White
81377,41-50,m,6,Bearded Collie,2003,m,Brown/White
81377,41-50,m,6,Bearded Collie,2009,m,Blue/White
81380,81-90,m,12,Pudel,2005,w,Silver
81387,41-50,w,8,Terrier,1998,w,Red/White
81391,81-90,w,7,Lagotto Romagnolo,2012,w,Brown
81392,51-60,w,7,True klein,2000,w,Brown
81394,51-60,w,10,Samojede,2014,w,White
81397,51-60,w,8,Bearded Collie,2015,m,Brown/White
81397,51-60,w,8,Bobtail,2004,w,Grey
81399,81-90,w,11,Yorkshire Terrier,2008,w,Silver/Brown
81403,71-80,w,6,Appenzeller,2003,w,Black/White/Brown
81403,71-80,w,6,Border Collie,2009,w,tricolor
81407,61-70,m,6,Border Collie,2006,w,Black
81407,61-70,m,6,Spinone,2002,w,White
81424,71-80,w,6,Border Collie,2001,w,Black/White
81430,61-70,w,10,Bolonka Zwetna,2012,w,black/tan
81437,71-80,w,7,Dackel,2008,w,Brown/White
81437,71-80,w,7,True klein,2005,w,Black/Brown
81438,81-90,m,7,Labrador Retriever,2007,m,Black
81441,71-80,w,8,True klein,2004,m,White
81448,71-80,w,4,Rauhaar Dackel,2007,w,Wild Boar Coloured
81457,41-50,w,7,Beagle,2012,w,tricolor
81458,71-80,w,6,Berner Sennenhund,2008,m,Black/Brown/White
81458,71-80,w,6,Border Terrier,2002,w,red grizzle
81459,81-90,w,11,Cairn Terrier,2011,m,Brown
81463,51-60,w,10,Mops,2013,w,beige
81466,61-70,w,3,Yorkshire Terrier,2006,w,blue/tan
81468,71-80,w,5,Yorkshire Terrier,2004,m,Black/Brown/White
81469,61-70,w,6,Jack Russel Terrier,2011,m,White/Brown
81475,61-70,w,7,Labrador Retriever,2009,w,Black/White
81482,71-80,m,12,Katalanischer Hirtenhund,2004,w,Brown Black Brindle
81483,51-60,w,5,Labrador Retriever,2009,w,Black/Brown
81502,71-80,w,7,True klein,2000,m,Brown/beige
81504,81-90,w,7,Pudel,2003,m,Grey
81507,61-70,w,6,Mittelpudel,2004,m,Black
81512,81-90,w,7,Cairn Terrier,2012,w,Black/Brown
81514,71-80,m,6,Podenco,2011,w,rehBrown
81518,71-80,m,2,Parson Terrier,2010,m,tricolor
81523,81-90,w,2,Labrador Retriever,2004,w,Brown/Black
81528,61-70,w,2,Schweizer Sennenhund,2012,w,tricolor
81531,71-80,w,3,Bolonka Zwetna,2011,w,Brown/White/Black
81531,71-80,w,3,True klein,2004,w,Red/Black
81531,71-80,w,3,Afghane,2004,m,Red/Black
81539,71-80,w,2,Dackel,1999,w,Black Brindle
81540,31-40,w,2,True gross,2015,w,Black/White
81540,31-40,w,2,Appenzeller,2014,m,tricolor
81548,41-50,w,3,Labrador Retriever,2012,m,Black
81557,71-80,w,2,Labrador Retriever,2004,w,Black
81560,81-90,w,2,Lakeland Terrier,2002,w,black/tan
81569,81-90,w,2,True klein,2008,m,Dark  Brindle
81573,71-80,w,3,Jack Russel Terrier,2007,m,White/Black
81579,41-50,w,3,Lagotto Romagnolo,2009,m,White/Brown
81584,51-60,m,2,Spitz,2000,m,Brown/White
81587,51-60,w,2,Jack Russel Terrier,2000,m,Grey/Brown
81590,71-80,w,2,Cocker Spaniel,2006,w,BlueDull Grey
81595,61-70,w,1,Rauhaar Dackel,1999,w,Black/Brown
81599,81-90,w,3,Gold en Retriever,2009,w,Gold en
81612,51-60,w,6,Border Collie,2008,w,Black/White
81614,61-70,m,4,Dachshund,2013,m,Black/Red
81615,61-70,m,10,Gold en Retriever,2013,m,blond Colour
81618,61-70,w,2,Zwergschnauzer,2008,w,Black/Grey
81619,51-60,w,8,Berger Picard,2010,w,fauve
81621,61-70,w,2,West Highland White Terrier,2002,w,White
81623,61-70,w,10,Sennenhund,2003,m,Black/White/Brown
81631,51-60,w,12,Berner Sennenhund,2012,m,Black
81638,41-50,w,10,Labrador Retriever,2012,m,beige
81640,71-80,w,10,Cairn Terrier,2014,m,beige
81641,41-50,w,3,Berner Sennenhund,2006,m,tricolor
81645,71-80,m,10,Airedale Terrier,2009,w,black/tan
81648,41-50,w,10,Sheltie,2008,m,blue/merle
81648,41-50,w,10,Chihuahua,2005,m,Black/White
81650,61-70,m,10,Deutsche Dogge,2013,m,Black/White
81671,51-60,w,10,True klein,2003,w,Brown
81671,51-60,w,10,True klein,2003,w,White/Brown
81674,81-90,w,10,Pekingese,2004,m,Black/Brown
81677,51-60,w,10,True klein,2010,w,Black
81680,71-80,w,10,True klein,2010,m,Brown
